,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training)
0,0.922463768115942,0.9110144927536232,0.9339130434782609,0.9323642835953723,0.06608695652173913,0.9215657528221668,45.28556259999999
1,0.9257971014492754,0.9176811594202898,0.9339130434782609,0.9328226281673542,0.06608695652173913,0.9251899473991818,44.63953049999998
2,0.9257971014492754,0.9440579710144927,0.907536231884058,0.9107941834451901,0.09246376811594204,0.9271278109877596,45.24235400000009
3,0.9230434782608695,0.9110144927536232,0.9350724637681159,0.9334719334719335,0.06492753623188406,0.922106498459733,45.26602630000002
4,0.9268115942028986,0.9356521739130435,0.9179710144927536,0.919396183423526,0.08202898550724638,0.9274529521620456,45.497334999999964
5,0.9260869565217391,0.9171014492753623,0.9350724637681159,0.9338842975206612,0.06492753623188406,0.9254167885346594,45.340391299999965
6,0.9263768115942029,0.946376811594203,0.9063768115942029,0.9099777034559643,0.0936231884057971,0.9278204035237283,45.363905100000125
7,0.9207246376811594,0.9028985507246376,0.9385507246376812,0.9362789299669372,0.06144927536231884,0.9192858196842261,46.87688329999992
8,0.9266666666666666,0.9460869565217391,0.9072463768115943,0.9107142857142857,0.0927536231884058,0.9280636906454364,44.78936200000021
9,0.9276811594202898,0.9446376811594203,0.9107246376811594,0.9136529296327446,0.08927536231884058,0.9288869887416275,46.1669071
10,0.9276811594202898,0.9298550724637681,0.9255072463768116,0.9258297258297258,0.07449275362318841,0.9278380332610268,45.543815399999744
11,0.9227536231884058,0.9539130434782609,0.8915942028985507,0.8979536152796725,0.10840579710144928,0.9250878425860858,45.46510400000034
12,0.9188405797101449,0.9631884057971014,0.8744927536231885,0.8847177848775293,0.1255072463768116,0.9222869830696641,44.54403620000005
13,0.9311594202898551,0.9420289855072463,0.9202898550724637,0.9219858156028369,0.07971014492753623,0.9318996415770608,44.34216289999995
14,0.9207246376811594,0.8982608695652174,0.9431884057971015,0.94051593323217,0.05681159420289855,0.9189028910303929,44.570047700000146
15,0.9246376811594202,0.9327536231884058,0.9165217391304348,0.9178551055333714,0.08347826086956522,0.9252443933294997,44.30243930000029
16,0.923623188405797,0.9365217391304348,0.9107246376811594,0.9129697654704719,0.08927536231884058,0.9245957933896122,43.234486799999786
17,0.9118840579710145,0.8631884057971014,0.9605797101449275,0.9563262684649968,0.03942028985507246,0.9073735527117611,44.17907150000042
18,0.9272463768115942,0.9260869565217391,0.9284057971014493,0.9282393957001743,0.07159420289855073,0.9271619268717354,44.1194251000004
19,0.9242028985507247,0.9504347826086956,0.8979710144927536,0.9030570090884054,0.10202898550724637,0.9261403756531563,44.09235140000078
